address,date,district,price,project,server,source,spider,subdistrict,title,url
 嘉园 - 静安寺二手房出售 -万航渡路458弄,20180203120136,静安,885 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,近静安寺！嘉园稀全明户型，朝南偏东，闹中取静，小区品质高.,http://sh.ganji.com/fang5/3007166855x.htm
 三和花园 - 静安寺二手房出售 -延平路123弄,20180203120136,静安,1150 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,笋盘！老客户委托！全南三房！自住首选！无读书！随时看房,http://sh.ganji.com/fang5/2923440337x.htm
 三和花园 - 静安寺二手房出售 -延平路123弄,20180203120136,静安,850 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,真实价格！房东委托出售，性价比高，无贷款抵押，无小孩上学！,http://sh.ganji.com/fang5/2915305089x.htm
 华园 - 静安寺二手房出售 -万航渡路540号,20180203120136,静安,680 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,（热推）古北社区一手小户型，豪华装修，现房交付，电梯洋房,http://sh.ganji.com/fang5/2916204852x.htm
 三和花园 - 静安寺二手房出售 -延平路123弄,20180203120136,静安,830 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,静安寺板块口，一师附小，高品质小区高区精装修2房，近地铁,http://sh.ganji.com/fang5/2916193887x.htm
 四明村 - 静安寺二手房出售 -延安中路913弄9-1...,20180203120136,静安,160 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,延安中路经典小户型精装修厨卫全独用租约5000,http://sh.ganji.com/fang5/2896389874x.htm
 三和花园 - 静安寺二手房出售 -延平路123弄,20180203120136,静安,700 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,新出三和花园高区三房，婚房装修，目前空关，全南户型,http://sh.ganji.com/fang5/2974595735x.htm
 苏河融景 - 静安寺二手房出售 -恒丰路318弄,20180203120136,静安,950 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,开发商订单转让精装修现房全明+无税费，景观苏州河，三轨环绕,http://sh.ganji.com/fang5/2917477926x.htm
 华园 - 静安寺二手房出售 -万航渡路540号,20180203120136,静安,780 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,永/久产权古北黄金城道地铁500M一手新房没有手续费,http://sh.ganji.com/fang5/2965984304x.htm
嘉园- 静安寺二手房出售 ,20180203120136,静安,2200 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,年底抛售、诚意出售、非诚勿扰,http://sh.ganji.com/fang5/2906077813x.htm
 延平路440... - 静安寺二手房出售 -延平路461号,20180203120136,静安,480 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,"双南户型,得房率高,看房方便",http://sh.ganji.com/fang5/2859037371x.htm
愚园路470...- 静安寺二手房出售 ,20180203120136,静安,160 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,静安-静安寺愚园路470弄小区,http://sh.ganji.com/fang5/2884188174x.htm
金家巷小区- 静安寺二手房出售 -新闸路1990弄,20180203120136,静安,500 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/jingansi/o2/,ganji,静安寺,"店长!金家巷小区,不一样的房子不一样的选择!!!",http://sh.ganji.com/fang5/2884855192x.htm
