address,date,district,price,project,server,source,spider,subdistrict,title,url
 前进大楼 - 淮海西路二手房出售 -永嘉路697号,20180202015412,徐汇,95 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,莘庄核心板块，地铁1号线直达人民广场，可网签无需社保，,http://sh.ganji.com/fang5/2912361804x.htm
 芝大厦 - 淮海西路二手房出售 -衡山路41号,20180202015412,徐汇,1620 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,衡山路41号，毗邻美领馆，地标性建筑，德国物业公司管理,http://sh.ganji.com/fang5/2919834961x.htm
 华亭公寓 - 淮海西路二手房出售 -华亭路76号,20180202015412,徐汇,130 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,轨交汇+挑高5米+可租5000+送精装家电+有钥匙+急卖中,http://sh.ganji.com/fang5/2918590363x.htm
 华龙公寓 - 淮海西路二手房出售 -高安路47弄2号,20180202015412,徐汇,595 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,衡山路地铁站旁新上高安路一小精装南北通满五唯一,http://sh.ganji.com/fang5/2949045755x.htm
 尚街Loft - 淮海西路二手房出售 -嘉善路508号,20180202015412,徐汇,98 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,店主新挂高租金8000可网签挑高6米精装带家具赠送20平,http://sh.ganji.com/fang5/2927576269x.htm
 汇贤居 - 淮海西路二手房出售 -乌鲁木齐中路99弄,20180202015412,徐汇,1793 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,法租界安福路五原路，高区南北通，带车位，香港业主诚售,http://sh.ganji.com/fang5/2926701622x.htm
 东方巴黎霞飞... - 淮海西路二手房出售 -南昌路555号,20180202015412,徐汇,1350 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,淮海路商圈紧邻环贸广场，园林式小区，南北通三房，外籍业主急售,http://sh.ganji.com/fang5/2924401186x.htm
 上音小区 - 淮海西路二手房出售 -复兴中路1350弄1...,20180202015412,徐汇,730 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,紧邻上海音乐学院，襄阳公园，精装两房，双南户型，易出租,http://sh.ganji.com/fang5/2918682469x.htm
 尚街Loft - 淮海西路二手房出售 -嘉善路508号,20180202015412,徐汇,98 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,低总价！徐汇地铁口精装Loft！包租6200租可抵贷！,http://sh.ganji.com/fang5/2916703669x.htm
 东方巴黎霞飞... - 淮海西路二手房出售 -南昌路555号,20180202015412,徐汇,1350 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,紧邻淮海路，环贸广场，三轨交汇，南北通三房，外籍业主急售,http://sh.ganji.com/fang5/2916268398x.htm
 东方巴黎霞飞... - 淮海西路二手房出售 -南昌路555号,20180202015412,徐汇,1750 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,淮海路地段配套环贸+三轨交汇+徐汇一中心+法租界景观一览无余,http://sh.ganji.com/fang5/2922161986x.htm
 上音小区 - 淮海西路二手房出售 -复兴中路1350弄1...,20180202015412,徐汇,660 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,售后公房+三房南北通+一梯两户+音乐学院+环境好可停车,http://sh.ganji.com/fang5/3001574537x.htm
 芝大厦 - 淮海西路二手房出售 -衡山路41号,20180202015412,徐汇,1600 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/huaihaixilu/o2/,ganji,淮海西路,衡山路41号芝大厦，毗邻美领馆，地标性建筑，建襄小学,http://sh.ganji.com/fang5/3002728361x.htm
 长白三村 - 周家嘴路二手房出售 -长白三村1-125号,20180202015417,杨浦,170 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,长白三村，一步到家，一步出行，精英幼儿教育，地价精装好房,http://sh.ganji.com/fang5/2911290180x.htm
 长白三村 - 周家嘴路二手房出售 -长白三村,20180202015417,杨浦,85 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/yangpuzhoujiazuilu/o2/,ganji,周家嘴路,待改建辅助面积大对面水丰路小学延吉中学,http://sh.ganji.com/fang5/1227976597x.htm
